,0,1,2,3,4
0,ABRD,GAZP,2017-07-07,-0.1731,-1.1904
1,ABRD,GMKN,2017-07-07,0.2443,1.1812
2,ABRD,IDVP,2017-07-07,0.007,0.0313
3,ABRD,LKOH,2017-07-07,-0.1088,-0.5145
4,ABRD,MICEXINDEXCF,2017-07-07,-0.107,-0.9641
5,ABRD,PHOR,2017-07-07,0.165,0.9681
6,ABRD,RTSCH,2017-07-07,-0.0261,-0.2232
7,ABRD,RTSEU,2017-07-07,0.0029,0.017
8,ABRD,RTSI,2017-07-07,-0.1739,-1.311
9,ABRD,RTSMM,2017-07-07,-0.0712,-0.4816
10,ABRD,RTSSTD,2017-07-07,-0.111,-0.9213
11,ABRD,RTSTN,2017-07-07,0.1076,0.391
12,ABRD,SBER,2017-07-07,-0.1306,-0.5657
13,AFKS,GAZP,2017-07-07,0.254,0.9438
14,AFKS,GMKN,2017-07-07,-0.1006,-0.2628
15,AFKS,IDVP,2017-07-07,0.4534,1.0936
16,AFKS,LKOH,2017-07-07,0.3166,0.8085
17,AFKS,MICEXINDEXCF,2017-07-07,0.2954,1.4386
18,AFKS,PHOR,2017-07-07,0.181,0.5738
19,AFKS,RTSCH,2017-07-07,0.1546,0.7145
20,AFKS,RTSEU,2017-07-07,0.0866,0.2739
21,AFKS,RTSI,2017-07-07,0.1677,0.6831
22,AFKS,RTSMM,2017-07-07,-0.0347,-0.1269
23,AFKS,RTSSTD,2017-07-07,0.2591,1.1618
24,AFKS,RTSTN,2017-07-07,-0.053,-0.1039
25,AFKS,SBER,2017-07-07,0.2236,0.5235
26,AFLT,GAZP,2017-07-07,0.1507,0.3289
27,AFLT,GMKN,2017-07-07,0.0691,0.106
28,AFLT,IDVP,2017-07-07,-0.2156,-0.3056
29,AFLT,LKOH,2017-07-07,0.366,0.5493
30,AFLT,MICEXINDEXCF,2017-07-07,0.3368,0.9635
31,AFLT,PHOR,2017-07-07,0.1371,0.2553
32,AFLT,RTSCH,2017-07-07,-0.0534,-0.1451
33,AFLT,RTSEU,2017-07-07,0.0648,0.1204
34,AFLT,RTSI,2017-07-07,0.2524,0.6041
35,AFLT,RTSMM,2017-07-07,0.0202,0.0433
36,AFLT,RTSSTD,2017-07-07,0.3066,0.8078
37,AFLT,RTSTN,2017-07-07,0.9106,1.0501
38,AFLT,SBER,2017-07-07,0.2027,0.2788
39,AGRO,GAZP,2017-07-07,0.3254,0.5724
40,AGRO,GMKN,2017-07-07,0.2781,0.344
41,AGRO,IDVP,2017-07-07,0.2071,0.2365
42,AGRO,LKOH,2017-07-07,0.4105,0.4963
43,AGRO,MICEXINDEXCF,2017-07-07,0.5143,1.1856
44,AGRO,PHOR,2017-07-07,0.2631,0.3947
45,AGRO,RTSCH,2017-07-07,0.0264,0.0578
46,AGRO,RTSEU,2017-07-07,-0.1099,-0.1644
47,AGRO,RTSI,2017-07-07,0.2231,0.4303
48,AGRO,RTSMM,2017-07-07,-0.1114,-0.1927
49,AGRO,RTSSTD,2017-07-07,0.5207,1.1056
50,AGRO,RTSTN,2017-07-07,0.2673,0.2484
51,AGRO,SBER,2017-07-07,0.539,0.5972
52,AKRN,GAZP,2017-07-07,0.1396,0.1784
53,AKRN,GMKN,2017-07-07,0.4666,0.4192
54,AKRN,IDVP,2017-07-07,-0.078,-0.0647
55,AKRN,LKOH,2017-07-07,0.2224,0.1953
56,AKRN,MICEXINDEXCF,2017-07-07,0.3794,0.6353
57,AKRN,PHOR,2017-07-07,0.3679,0.4009
58,AKRN,RTSCH,2017-07-07,0.6541,1.0398
59,AKRN,RTSEU,2017-07-07,0.2571,0.2795
60,AKRN,RTSI,2017-07-07,0.2942,0.4121
61,AKRN,RTSMM,2017-07-07,0.2301,0.2892
62,AKRN,RTSSTD,2017-07-07,0.3597,0.5546
63,AKRN,RTSTN,2017-07-07,0.0696,0.047
64,AKRN,SBER,2017-07-07,0.3156,0.254
65,ALBK,GAZP,2017-07-07,-0.1529,-2.5235
66,ALBK,GMKN,2017-07-07,-0.0007,-0.0079
67,ALBK,IDVP,2017-07-07,-0.0055,-0.0588
68,ALBK,LKOH,2017-07-07,-0.0297,-0.3368
69,ALBK,MICEXINDEXCF,2017-07-07,-0.1281,-2.771
70,ALBK,PHOR,2017-07-07,-0.2462,-3.4671
71,ALBK,RTSCH,2017-07-07,-0.117,-2.403
72,ALBK,RTSEU,2017-07-07,0.2093,2.9399
73,ALBK,RTSI,2017-07-07,0.0734,1.3291
74,ALBK,RTSMM,2017-07-07,0.0689,1.119
75,ALBK,RTSSTD,2017-07-07,-0.1046,-2.0838
76,ALBK,RTSTN,2017-07-07,0.0092,0.0798
77,ALBK,SBER,2017-07-07,-0.0199,-0.2065
78,ALNU,GAZP,2017-07-07,0.1384,0.451
79,ALNU,GMKN,2017-07-07,-0.3246,-0.7438
80,ALNU,IDVP,2017-07-07,0.4934,1.0437
81,ALNU,LKOH,2017-07-07,-0.0941,-0.2108
82,ALNU,MICEXINDEXCF,2017-07-07,-0.1116,-0.4766
83,ALNU,PHOR,2017-07-07,0.301,0.8366
84,ALNU,RTSCH,2017-07-07,-0.2959,-1.1996
85,ALNU,RTSEU,2017-07-07,-0.1298,-0.36
86,ALNU,RTSI,2017-07-07,-0.2438,-0.8711
87,ALNU,RTSMM,2017-07-07,-0.3175,-1.0176
88,ALNU,RTSSTD,2017-07-07,-0.1112,-0.4372
89,ALNU,RTSTN,2017-07-07,-0.2332,-0.4015
90,ALNU,SBER,2017-07-07,0.0511,0.1048
91,ALRS,GAZP,2017-07-07,0.5899,0.8338
92,ALRS,GMKN,2017-07-07,0.2041,0.2029
93,ALRS,IDVP,2017-07-07,0.0972,0.0892
94,ALRS,LKOH,2017-07-07,0.148,0.1438
95,ALRS,MICEXINDEXCF,2017-07-07,0.5439,1.0075
96,ALRS,PHOR,2017-07-07,0.2369,0.2856
97,ALRS,RTSCH,2017-07-07,0.4683,0.8236
98,ALRS,RTSEU,2017-07-07,0.1413,0.1699
99,ALRS,RTSI,2017-07-07,0.4203,0.6515
100,ALRS,RTSMM,2017-07-07,0.5937,0.8254
101,ALRS,RTSSTD,2017-07-07,0.5187,0.8849
102,ALRS,RTSTN,2017-07-07,-0.1191,-0.0889
103,ALRS,SBER,2017-07-07,0.5502,0.4899
104,AMEZ,GAZP,2017-07-07,0.3844,0.6357
105,AMEZ,GMKN,2017-07-07,-0.1781,-0.2072
106,AMEZ,IDVP,2017-07-07,0.187,0.2008
107,AMEZ,LKOH,2017-07-07,0.2391,0.2718
108,AMEZ,MICEXINDEXCF,2017-07-07,0.2566,0.5561
109,AMEZ,PHOR,2017-07-07,0.057,0.0804
110,AMEZ,RTSCH,2017-07-07,0.0779,0.1604
111,AMEZ,RTSEU,2017-07-07,0.2602,0.3661
112,AMEZ,RTSI,2017-07-07,0.2004,0.3635
